RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR;filename;eval_cluster;single_cluster;Image_SkinCluster
2200;1;Dark;1;25;2;3;4;3;1;220003_81.jpg;4;VRAI;4
2201;1;Dark;1;32;2;3;2;6;2;220103_81.jpg;6;VRAI;5
1008;1;Medium;4;60;1;6;4;4;2;100803_81.jpg;3;FAUX;3
1047;1;Medium;2;43;1;4;3;3;2;104703_81.jpg;2;VRAI;2
1061;1;Light;3;58;1;5;4;4;3;106103_81.jpg;2;FAUX;3
1071;1;Dark;1;35;1;7;4;6;2;107103_81.jpg;2;VRAI;2
1122;1;Medium;4;62;1;4;2;3;2;112203_81.jpg;3;VRAI;4
1030;1;Light;2;47;1;4;4;4;4;103003_81.jpg;2;VRAI;2
1016;1;Medium;3;53;1;4;4;4;5;101603_81.jpg;2;VRAI;2
1056;1;Medium;4;65;1;4;2;3;2;105603_81.jpg;2;FAUX;2
1130;1;Dark;4;66;1;4;4;3;5;113003_81.jpg;3;FAUX;4
1133;1;Medium;3;53;1;6;5;3;4;113303_81.jpg;3;FAUX;2
1063;1;Medium;2;46;1;5;3;3;1;106303_81.jpg;4;FAUX;2
1001;1;Dark;1;29;1;5;3;4;1;100103_81.jpg;2;VRAI;2
2060;1;Dark;1;36;1;5;3;3;2;206003_81.jpg;2;VRAI;2
1017;1;Dark;2;47;1;5;5;3;1;101703_81.jpg;2;VRAI;2
1018;1;Medium;1;28;1;6;2;2;1;101803_81.jpg;1;VRAI;1
2061;1;Medium;4;69;1;2;3;3;3;206103_81.jpg;3;FAUX;1
2227;1;Dark;1;37;2;6;3;4;1;222703_81.jpg;6;VRAI;6
2062;1;Dark;1;26;1;7;3;3;1;206203_81.jpg;3;FAUX;3
2195;1;Medium;3;59;2;3;3;3;3;219503_81.jpg;5;VRAI;4
2063;1;Dark;1;25;1;6;3;3;1;206303_81.jpg;3;FAUX;1
2184;1;Medium;4;65;2;2;3;3;2;218403_81.jpg;5;VRAI;4
2204;1;Medium;4;68;2;3;2;3;2;220403_81.jpg;5;FAUX;5
2202;1;Dark;1;25;4;4;2;3;1;220203_81.jpg;4;VRAI;4
2033;1;Dark;2;42;1;5;1;3;2;203303_81.jpg;3;VRAI;3
2203;1;Dark;1;39;4;6;1;6;2;220303_81.jpg;3;FAUX;3
